date,snow_depth,grid
12/8/1980,0.521506182,Chitty Hare
12/9/1980,0.521506182,Chitty Hare
12/10/1980,0.521506182,Chitty Hare
12/11/1980,0.535661766,Chitty Hare
12/12/1980,0.553678531,Chitty Hare
12/13/1980,0.57041765,Chitty Hare
12/14/1980,0.57041765,Chitty Hare
12/15/1980,0.57041765,Chitty Hare
12/16/1980,0.57041765,Chitty Hare
12/17/1980,0.57041765,Chitty Hare
12/18/1980,0.57041765,Chitty Hare
12/19/1980,0.57041765,Chitty Hare
12/20/1980,0.57041765,Chitty Hare
12/21/1980,0.57041765,Chitty Hare
12/22/1980,0.57041765,Chitty Hare
12/23/1980,0.57041765,Chitty Hare
12/24/1980,0.602295304,Chitty Hare
12/25/1980,0.635934125,Chitty Hare
12/26/1980,0.635934125,Chitty Hare
12/27/1980,0.635934125,Chitty Hare
12/28/1980,0.6639647,Chitty Hare
12/29/1980,0.6639647,Chitty Hare
12/30/1980,0.6639647,Chitty Hare
1/1/1981,0.77523205,Chitty Hare
1/2/1981,0.774987644,Chitty Hare
1/3/1981,0.774987644,Chitty Hare
1/4/1981,0.774987644,Chitty Hare
1/5/1981,0.832887639,Chitty Hare
1/6/1981,0.832887639,Chitty Hare
1/7/1981,0.832887639,Chitty Hare
1/8/1981,0.832887639,Chitty Hare
1/9/1981,0.832887639,Chitty Hare
1/10/1981,0.852421179,Chitty Hare
1/11/1981,0.85131295,Chitty Hare
1/12/1981,0.85131295,Chitty Hare
1/13/1981,0.85131295,Chitty Hare
1/14/1981,0.846829688,Chitty Hare
1/15/1981,0.825604695,Chitty Hare
1/16/1981,0.817971475,Chitty Hare
1/17/1981,0.811952065,Chitty Hare
1/18/1981,0.801677052,Chitty Hare
1/19/1981,0.787802056,Chitty Hare
1/20/1981,0.810316177,Chitty Hare
1/21/1981,0.810316177,Chitty Hare
1/22/1981,0.810316177,Chitty Hare
1/23/1981,0.810316177,Chitty Hare
1/24/1981,0.810316177,Chitty Hare
1/25/1981,0.810316177,Chitty Hare
1/26/1981,0.810316177,Chitty Hare
1/27/1981,0.810316177,Chitty Hare
1/28/1981,0.810316177,Chitty Hare
1/29/1981,0.810316177,Chitty Hare
1/30/1981,0.810316177,Chitty Hare
1/31/1981,0.810316177,Chitty Hare
2/1/1981,0.810316177,Chitty Hare
2/2/1981,0.80553559,Chitty Hare
2/3/1981,0.80553559,Chitty Hare
2/4/1981,0.80553559,Chitty Hare
2/5/1981,0.80553559,Chitty Hare
2/6/1981,0.80553559,Chitty Hare
2/7/1981,0.80553559,Chitty Hare
2/8/1981,0.80553559,Chitty Hare
2/9/1981,0.80553559,Chitty Hare
2/10/1981,0.821510577,Chitty Hare
2/11/1981,0.852749429,Chitty Hare
2/12/1981,0.852749429,Chitty Hare
2/13/1981,0.852749429,Chitty Hare
2/14/1981,0.870241169,Chitty Hare
2/15/1981,0.880027376,Chitty Hare
2/16/1981,0.880027376,Chitty Hare
2/17/1981,0.880027376,Chitty Hare
2/18/1981,0.880027376,Chitty Hare
2/19/1981,0.880027376,Chitty Hare
2/20/1981,0.880027376,Chitty Hare
2/21/1981,0.880027376,Chitty Hare
2/22/1981,0.880027376,Chitty Hare
2/23/1981,0.880027376,Chitty Hare
2/24/1981,0.880027376,Chitty Hare
2/25/1981,0.880027376,Chitty Hare
2/26/1981,0.880027376,Chitty Hare
2/27/1981,0.880027376,Chitty Hare
2/28/1981,0.880027376,Chitty Hare
3/1/1981,0.880027376,Chitty Hare
3/2/1981,0.880027376,Chitty Hare
3/3/1981,0.880027376,Chitty Hare
3/4/1981,0.880027376,Chitty Hare
3/5/1981,0.880027376,Chitty Hare
3/6/1981,0.880027376,Chitty Hare
3/7/1981,0.880027376,Chitty Hare
3/8/1981,0.880027376,Chitty Hare
3/9/1981,0.874627367,Chitty Hare
3/10/1981,0.874627367,Chitty Hare
3/11/1981,0.872657935,Chitty Hare
3/12/1981,0.865644115,Chitty Hare
3/13/1981,0.865644115,Chitty Hare
3/14/1981,0.864255296,Chitty Hare
3/15/1981,0.858366473,Chitty Hare
3/16/1981,0.858366473,Chitty Hare
3/17/1981,0.858366473,Chitty Hare
3/18/1981,0.858366473,Chitty Hare
3/19/1981,0.858366473,Chitty Hare
3/20/1981,0.858366473,Chitty Hare
3/21/1981,0.858366473,Chitty Hare
3/22/1981,0.871602631,Chitty Hare
3/23/1981,0.871602631,Chitty Hare
3/24/1981,0.871602631,Chitty Hare
3/25/1981,0.867552624,Chitty Hare
3/26/1981,0.867552624,Chitty Hare
3/27/1981,0.861344394,Chitty Hare
3/28/1981,0.861344394,Chitty Hare
3/29/1981,0.861344394,Chitty Hare
3/30/1981,0.861344394,Chitty Hare
3/31/1981,0.861344394,Chitty Hare
12/1/1981,0.620401179,Chitty Hare
12/2/1981,0.620401179,Chitty Hare
12/3/1981,0.620401179,Chitty Hare
12/4/1981,0.657862354,Chitty Hare
12/5/1981,0.702429127,Chitty Hare
12/6/1981,0.702429127,Chitty Hare
12/7/1981,0.702429127,Chitty Hare
12/8/1981,0.702429127,Chitty Hare
12/9/1981,0.702429127,Chitty Hare
12/10/1981,0.702429127,Chitty Hare
12/11/1981,0.702429127,Chitty Hare
12/12/1981,0.702429127,Chitty Hare
12/13/1981,0.702429127,Chitty Hare
12/14/1981,0.702429127,Chitty Hare
12/15/1981,0.702429127,Chitty Hare
12/16/1981,0.702429127,Chitty Hare
12/17/1981,0.759557049,Chitty Hare
12/18/1981,0.746620877,Chitty Hare
12/19/1981,0.764637643,Chitty Hare
12/20/1981,0.764637643,Chitty Hare
12/21/1981,0.764637643,Chitty Hare
12/22/1981,0.764637643,Chitty Hare
12/23/1981,0.764637643,Chitty Hare
12/24/1981,0.78351823,Chitty Hare
12/25/1981,0.78351823,Chitty Hare
12/26/1981,0.78351823,Chitty Hare
12/27/1981,0.78351823,Chitty Hare
12/28/1981,0.78351823,Chitty Hare
12/29/1981,0.78351823,Chitty Hare
12/30/1981,0.78351823,Chitty Hare
12/31/1981,0.78351823,Chitty Hare
1/1/1982,0.968467339,Chitty Hare
1/2/1982,0.968467339,Chitty Hare
1/3/1982,0.968467339,Chitty Hare
1/4/1982,0.968467339,Chitty Hare
1/5/1982,0.984028521,Chitty Hare
1/6/1982,0.984028521,Chitty Hare
1/7/1982,0.984028521,Chitty Hare
1/8/1982,1.044217327,Chitty Hare
1/9/1982,1.070561759,Chitty Hare
1/10/1982,1.070561759,Chitty Hare
1/11/1982,1.070561759,Chitty Hare
1/12/1982,1.070561759,Chitty Hare
1/13/1982,1.089984099,Chitty Hare
1/14/1982,1.089984099,Chitty Hare
1/15/1982,1.089984099,Chitty Hare
1/16/1982,1.089984099,Chitty Hare
1/17/1982,1.089984099,Chitty Hare
1/18/1982,1.089984099,Chitty Hare
1/19/1982,1.089984099,Chitty Hare
1/20/1982,1.089984099,Chitty Hare
1/21/1982,1.089984099,Chitty Hare
1/22/1982,1.089984099,Chitty Hare
1/23/1982,1.105564697,Chitty Hare
1/24/1982,1.105564697,Chitty Hare
1/25/1982,1.105564697,Chitty Hare
1/26/1982,1.105564697,Chitty Hare
1/27/1982,1.105564697,Chitty Hare
1/28/1982,1.126939685,Chitty Hare
1/29/1982,1.126939685,Chitty Hare
1/30/1982,1.126939685,Chitty Hare
1/31/1982,1.126939685,Chitty Hare
2/1/1982,1.126939685,Chitty Hare
2/2/1982,1.126939685,Chitty Hare
2/3/1982,1.126939685,Chitty Hare
2/4/1982,1.126939685,Chitty Hare
2/5/1982,1.126939685,Chitty Hare
2/6/1982,1.126939685,Chitty Hare
2/7/1982,1.126939685,Chitty Hare
2/8/1982,1.182601189,Chitty Hare
2/9/1982,1.245782051,Chitty Hare
2/10/1982,1.259765607,Chitty Hare
2/11/1982,1.259765607,Chitty Hare
2/12/1982,1.259765607,Chitty Hare
2/13/1982,1.259765607,Chitty Hare
2/14/1982,1.301184956,Chitty Hare
2/15/1982,1.353068216,Chitty Hare
2/16/1982,1.353068216,Chitty Hare
2/17/1982,1.363118189,Chitty Hare
2/18/1982,1.375718248,Chitty Hare
2/19/1982,1.375718248,Chitty Hare
2/20/1982,1.375718248,Chitty Hare
2/21/1982,1.375718248,Chitty Hare
2/22/1982,1.375718248,Chitty Hare
2/23/1982,1.375718248,Chitty Hare
2/24/1982,1.375718248,Chitty Hare
2/25/1982,1.375718248,Chitty Hare
2/26/1982,1.375718248,Chitty Hare
2/27/1982,1.375718248,Chitty Hare
2/28/1982,1.375718248,Chitty Hare
3/1/1982,1.375718248,Chitty Hare
3/2/1982,1.375718248,Chitty Hare
3/3/1982,1.375718248,Chitty Hare
3/4/1982,1.375718248,Chitty Hare
3/5/1982,1.375718248,Chitty Hare
3/6/1982,1.375718248,Chitty Hare
3/7/1982,1.390810018,Chitty Hare
3/8/1982,1.403335004,Chitty Hare
3/9/1982,1.403335004,Chitty Hare
3/10/1982,1.433785015,Chitty Hare
3/11/1982,1.433785015,Chitty Hare
3/12/1982,1.449946211,Chitty Hare
3/13/1982,1.449946211,Chitty Hare
3/14/1982,1.449946211,Chitty Hare
3/15/1982,1.449946211,Chitty Hare
3/16/1982,1.449946211,Chitty Hare
3/17/1982,1.449946211,Chitty Hare
3/18/1982,1.449946211,Chitty Hare
3/19/1982,1.449946211,Chitty Hare
3/20/1982,1.449946211,Chitty Hare
3/21/1982,1.449946211,Chitty Hare
3/22/1982,1.449946211,Chitty Hare
3/23/1982,1.449946211,Chitty Hare
3/24/1982,1.467471487,Chitty Hare
3/25/1982,1.525571736,Chitty Hare
3/26/1982,1.525571736,Chitty Hare
3/27/1982,1.525571736,Chitty Hare
3/28/1982,1.525571736,Chitty Hare
3/29/1982,1.525571736,Chitty Hare
3/30/1982,1.525571736,Chitty Hare
3/31/1982,1.525571736,Chitty Hare
12/1/1982,0.866453257,Chitty Hare
12/2/1982,0.895722627,Chitty Hare
12/3/1982,0.902247648,Chitty Hare
12/4/1982,0.902247648,Chitty Hare
12/5/1982,0.902247648,Chitty Hare
12/6/1982,0.902247648,Chitty Hare
12/7/1982,0.902247648,Chitty Hare
12/8/1982,0.902247648,Chitty Hare
12/9/1982,0.902247648,Chitty Hare
12/10/1982,0.902247648,Chitty Hare
12/11/1982,0.92761441,Chitty Hare
12/12/1982,0.950017346,Chitty Hare
12/13/1982,0.950017346,Chitty Hare
12/14/1982,0.950017346,Chitty Hare
12/15/1982,0.950017346,Chitty Hare
12/16/1982,0.950017346,Chitty Hare
12/17/1982,0.950017346,Chitty Hare
12/18/1982,0.950017346,Chitty Hare
12/19/1982,0.950017346,Chitty Hare
12/20/1982,0.950017346,Chitty Hare
12/21/1982,0.950017346,Chitty Hare
12/22/1982,0.950017346,Chitty Hare
12/23/1982,0.968467339,Chitty Hare
12/24/1982,0.968467339,Chitty Hare
12/25/1982,0.968467339,Chitty Hare
12/26/1982,0.968467339,Chitty Hare
12/27/1982,0.968467339,Chitty Hare
12/28/1982,0.968467339,Chitty Hare
12/29/1982,0.968467339,Chitty Hare
12/30/1982,0.968467339,Chitty Hare
12/31/1982,0.968467339,Chitty Hare
1/1/1983,0.453275586,Chitty Hare
1/2/1983,0.453275586,Chitty Hare
1/3/1983,0.475717355,Chitty Hare
1/4/1983,0.490434117,Chitty Hare
1/5/1983,0.503970289,Chitty Hare
1/6/1983,0.58088147,Chitty Hare
1/7/1983,0.58088147,Chitty Hare
1/8/1983,0.58088147,Chitty Hare
1/9/1983,0.58088147,Chitty Hare
1/10/1983,0.606606472,Chitty Hare
1/11/1983,0.635856476,Chitty Hare
1/12/1983,0.66150647,Chitty Hare
1/13/1983,0.732664699,Chitty Hare
1/14/1983,0.769581468,Chitty Hare
1/15/1983,0.785781467,Chitty Hare
1/16/1983,0.795828836,Chitty Hare
1/17/1983,0.795828836,Chitty Hare
1/18/1983,0.795828836,Chitty Hare
1/19/1983,0.795828836,Chitty Hare
1/20/1983,0.795828836,Chitty Hare
1/21/1983,0.795828836,Chitty Hare
1/22/1983,0.795828836,Chitty Hare
1/23/1983,0.795828836,Chitty Hare
1/24/1983,0.795828836,Chitty Hare
1/25/1983,0.795828836,Chitty Hare
1/26/1983,0.795828836,Chitty Hare
1/27/1983,0.795828836,Chitty Hare
1/28/1983,0.795828836,Chitty Hare
1/29/1983,0.812984405,Chitty Hare
1/30/1983,0.812984405,Chitty Hare
1/31/1983,0.812984405,Chitty Hare
2/1/1983,0.812984405,Chitty Hare
2/2/1983,0.812984405,Chitty Hare
2/3/1983,0.812984405,Chitty Hare
2/4/1983,0.812984405,Chitty Hare
2/5/1983,0.812984405,Chitty Hare
2/6/1983,0.812984405,Chitty Hare
2/7/1983,0.812984405,Chitty Hare
2/8/1983,0.820690009,Chitty Hare
2/9/1983,0.829370571,Chitty Hare
2/10/1983,0.8394206,Chitty Hare
2/11/1983,0.848476178,Chitty Hare
2/12/1983,0.848476178,Chitty Hare
2/13/1983,0.848476178,Chitty Hare
2/14/1983,0.848476178,Chitty Hare
2/15/1983,0.848476178,Chitty Hare
2/16/1983,0.848476178,Chitty Hare
2/17/1983,0.848476178,Chitty Hare
2/18/1983,0.848476178,Chitty Hare
2/19/1983,0.848476178,Chitty Hare
2/20/1983,0.848476178,Chitty Hare
2/21/1983,0.848476178,Chitty Hare
2/22/1983,0.848476178,Chitty Hare
2/23/1983,0.869023529,Chitty Hare
2/24/1983,0.869023529,Chitty Hare
2/25/1983,0.869023529,Chitty Hare
2/26/1983,0.869023529,Chitty Hare
2/27/1983,0.869023529,Chitty Hare
2/28/1983,0.893337663,Chitty Hare
3/1/1983,0.893337663,Chitty Hare
3/2/1983,0.893337663,Chitty Hare
3/3/1983,0.893337663,Chitty Hare
3/4/1983,0.893337663,Chitty Hare
3/5/1983,0.893337663,Chitty Hare
3/6/1983,0.893337663,Chitty Hare
3/7/1983,0.893337663,Chitty Hare
3/8/1983,0.894987672,Chitty Hare
3/9/1983,0.894987672,Chitty Hare
3/10/1983,0.894987672,Chitty Hare
3/11/1983,0.894987672,Chitty Hare
3/12/1983,0.894987672,Chitty Hare
3/13/1983,0.894987672,Chitty Hare
3/14/1983,0.894987672,Chitty Hare
3/15/1983,0.894987672,Chitty Hare
3/16/1983,0.894987672,Chitty Hare
3/17/1983,0.894987672,Chitty Hare
3/18/1983,0.894987672,Chitty Hare
3/19/1983,0.894987672,Chitty Hare
3/20/1983,0.894987672,Chitty Hare
3/21/1983,0.894987672,Chitty Hare
3/22/1983,0.894987672,Chitty Hare
3/23/1983,0.894987672,Chitty Hare
3/24/1983,0.894987672,Chitty Hare
3/25/1983,0.894987672,Chitty Hare
3/26/1983,0.894987672,Chitty Hare
3/27/1983,0.895812634,Chitty Hare
3/28/1983,0.895812634,Chitty Hare
3/29/1983,0.895812634,Chitty Hare
3/30/1983,0.895812634,Chitty Hare
3/31/1983,0.895812634,Chitty Hare
12/1/1983,0.409780883,Chitty Hare
12/2/1983,0.409780883,Chitty Hare
12/3/1983,0.409780883,Chitty Hare
12/4/1983,0.409780883,Chitty Hare
12/5/1983,0.409780883,Chitty Hare
12/6/1983,0.433606175,Chitty Hare
12/7/1983,0.433606175,Chitty Hare
12/8/1983,0.433606175,Chitty Hare
12/9/1983,0.433606175,Chitty Hare
12/10/1983,0.433606175,Chitty Hare
12/11/1983,0.433606175,Chitty Hare
12/12/1983,0.433606175,Chitty Hare
12/13/1983,0.433606175,Chitty Hare
12/14/1983,0.440636767,Chitty Hare
12/15/1983,0.440636767,Chitty Hare
12/16/1983,0.440636767,Chitty Hare
12/17/1983,0.440636767,Chitty Hare
12/18/1983,0.453275586,Chitty Hare
12/19/1983,0.453275586,Chitty Hare
12/20/1983,0.453275586,Chitty Hare
12/21/1983,0.453275586,Chitty Hare
12/22/1983,0.453275586,Chitty Hare
12/23/1983,0.453275586,Chitty Hare
12/24/1983,0.453275586,Chitty Hare
12/25/1983,0.453275586,Chitty Hare
12/26/1983,0.453275586,Chitty Hare
12/27/1983,0.453275586,Chitty Hare
12/28/1983,0.453275586,Chitty Hare
12/29/1983,0.453275586,Chitty Hare
12/30/1983,0.453275586,Chitty Hare
12/31/1983,0.453275586,Chitty Hare
1/1/1984,0.647672938,Chitty Hare
1/2/1984,0.647672938,Chitty Hare
1/3/1984,0.647672938,Chitty Hare
1/4/1984,0.662220295,Chitty Hare
1/5/1984,0.662220295,Chitty Hare
1/6/1984,0.662220295,Chitty Hare
1/7/1984,0.662220295,Chitty Hare
1/8/1984,0.662220295,Chitty Hare
1/9/1984,0.689592645,Chitty Hare
1/10/1984,0.702751175,Chitty Hare
1/11/1984,0.702751175,Chitty Hare
1/12/1984,0.702751175,Chitty Hare
1/13/1984,0.702751175,Chitty Hare
1/14/1984,0.702751175,Chitty Hare
1/15/1984,0.702751175,Chitty Hare
1/16/1984,0.702751175,Chitty Hare
1/17/1984,0.702751175,Chitty Hare
1/18/1984,0.722867932,Chitty Hare
1/19/1984,0.734117932,Chitty Hare
1/20/1984,0.734117932,Chitty Hare
1/21/1984,0.756692948,Chitty Hare
1/22/1984,0.783765291,Chitty Hare
1/23/1984,0.783765291,Chitty Hare
1/24/1984,0.783765291,Chitty Hare
1/25/1984,0.807184699,Chitty Hare
1/26/1984,0.841740316,Chitty Hare
1/27/1984,0.841740316,Chitty Hare
1/28/1984,0.841740316,Chitty Hare
1/29/1984,0.841740316,Chitty Hare
1/30/1984,0.856793226,Chitty Hare
1/31/1984,0.856793226,Chitty Hare
2/1/1984,0.856793226,Chitty Hare
2/2/1984,0.856793226,Chitty Hare
2/3/1984,0.940074106,Chitty Hare
2/4/1984,0.940074106,Chitty Hare
2/5/1984,0.940074106,Chitty Hare
2/6/1984,0.989254714,Chitty Hare
2/7/1984,0.989254714,Chitty Hare
2/8/1984,0.989254714,Chitty Hare
2/9/1984,0.989254714,Chitty Hare
2/10/1984,0.989254714,Chitty Hare
2/11/1984,0.989254714,Chitty Hare
2/12/1984,0.989254714,Chitty Hare
2/13/1984,0.989254714,Chitty Hare
2/14/1984,0.989254714,Chitty Hare
2/15/1984,0.989254714,Chitty Hare
2/16/1984,0.989254714,Chitty Hare
2/17/1984,0.986329719,Chitty Hare
2/18/1984,0.986329719,Chitty Hare
2/19/1984,1.009349408,Chitty Hare
2/20/1984,1.009349408,Chitty Hare
2/21/1984,1.009349408,Chitty Hare
2/22/1984,1.009349408,Chitty Hare
2/23/1984,1.009349408,Chitty Hare
2/24/1984,1.009349408,Chitty Hare
2/25/1984,1.009349408,Chitty Hare
2/26/1984,1.009349408,Chitty Hare
2/27/1984,1.009349408,Chitty Hare
2/28/1984,1.009349408,Chitty Hare
2/29/1984,1.009349408,Chitty Hare
3/1/1984,1.009349408,Chitty Hare
3/2/1984,1.009349408,Chitty Hare
3/3/1984,1.009349408,Chitty Hare
3/4/1984,1.007435577,Chitty Hare
3/5/1984,1.007435577,Chitty Hare
3/6/1984,1.004080015,Chitty Hare
3/7/1984,1.000702348,Chitty Hare
3/8/1984,1.000702348,Chitty Hare
3/9/1984,1.000702348,Chitty Hare
3/10/1984,1.000702348,Chitty Hare
3/11/1984,1.000702348,Chitty Hare
3/12/1984,0.995113532,Chitty Hare
3/13/1984,0.993707945,Chitty Hare
3/14/1984,0.993707945,Chitty Hare
3/15/1984,0.993707945,Chitty Hare
3/16/1984,0.993707945,Chitty Hare
3/17/1984,1.007416176,Chitty Hare
3/18/1984,1.007416176,Chitty Hare
3/19/1984,1.007416176,Chitty Hare
3/20/1984,1.007416176,Chitty Hare
3/21/1984,1.007416176,Chitty Hare
3/22/1984,1.007416176,Chitty Hare
3/23/1984,1.007416176,Chitty Hare
3/24/1984,1.007416176,Chitty Hare
3/25/1984,1.007416176,Chitty Hare
3/26/1984,1.007416176,Chitty Hare
3/27/1984,1.007416176,Chitty Hare
3/28/1984,1.007416176,Chitty Hare
3/29/1984,0.997610595,Chitty Hare
3/30/1984,0.984502378,Chitty Hare
3/31/1984,0.97829409,Chitty Hare
12/1/1984,0.467633231,Chitty Hare
12/2/1984,0.467633231,Chitty Hare
12/3/1984,0.467633231,Chitty Hare
12/4/1984,0.467633231,Chitty Hare
12/5/1984,0.463527647,Chitty Hare
12/6/1984,0.479930594,Chitty Hare
12/7/1984,0.479930594,Chitty Hare
12/8/1984,0.479930594,Chitty Hare
12/9/1984,0.479930594,Chitty Hare
12/10/1984,0.484449994,Chitty Hare
12/11/1984,0.498044417,Chitty Hare
12/12/1984,0.518441765,Chitty Hare
12/13/1984,0.546283526,Chitty Hare
12/14/1984,0.546283526,Chitty Hare
12/15/1984,0.546283526,Chitty Hare
12/16/1984,0.546283526,Chitty Hare
12/17/1984,0.546283526,Chitty Hare
12/18/1984,0.575083528,Chitty Hare
12/19/1984,0.60464765,Chitty Hare
12/20/1984,0.60464765,Chitty Hare
12/21/1984,0.615669997,Chitty Hare
12/22/1984,0.615669997,Chitty Hare
12/23/1984,0.615669997,Chitty Hare
12/24/1984,0.615669997,Chitty Hare
12/25/1984,0.615669997,Chitty Hare
12/26/1984,0.615669997,Chitty Hare
12/27/1984,0.615669997,Chitty Hare
12/28/1984,0.615669997,Chitty Hare
12/29/1984,0.615669997,Chitty Hare
12/30/1984,0.615669997,Chitty Hare
1/1/1985,0.586890291,Chitty Hare
1/2/1985,0.578904118,Chitty Hare
1/3/1985,0.578904118,Chitty Hare
1/4/1985,0.591334708,Chitty Hare
1/5/1985,0.591334708,Chitty Hare
1/6/1985,0.591334708,Chitty Hare
1/7/1985,0.591334708,Chitty Hare
1/8/1985,0.584454116,Chitty Hare
1/9/1985,0.57837912,Chitty Hare
1/10/1985,0.57837912,Chitty Hare
1/11/1985,0.622515291,Chitty Hare
1/12/1985,0.646195882,Chitty Hare
1/13/1985,0.67448764,Chitty Hare
1/14/1985,0.67448764,Chitty Hare
1/15/1985,0.711348823,Chitty Hare
1/16/1985,0.733732357,Chitty Hare
1/17/1985,0.733732357,Chitty Hare
1/18/1985,0.765418529,Chitty Hare
1/19/1985,0.80741059,Chitty Hare
1/20/1985,0.80741059,Chitty Hare
1/21/1985,0.80741059,Chitty Hare
1/22/1985,0.80741059,Chitty Hare
1/23/1985,0.80741059,Chitty Hare
1/24/1985,0.80741059,Chitty Hare
1/25/1985,0.80741059,Chitty Hare
1/26/1985,0.80741059,Chitty Hare
1/27/1985,0.80741059,Chitty Hare
1/28/1985,0.80741059,Chitty Hare
1/29/1985,0.80741059,Chitty Hare
1/30/1985,0.80741059,Chitty Hare
1/31/1985,0.852613532,Chitty Hare
2/1/1985,0.852613532,Chitty Hare
2/2/1985,0.852613532,Chitty Hare
2/3/1985,0.879707953,Chitty Hare
2/4/1985,0.879707953,Chitty Hare
2/5/1985,0.879707953,Chitty Hare
2/6/1985,0.879707953,Chitty Hare
2/7/1985,0.879707953,Chitty Hare
2/8/1985,0.879707953,Chitty Hare
2/9/1985,0.879707953,Chitty Hare
2/10/1985,0.879707953,Chitty Hare
2/11/1985,0.879707953,Chitty Hare
2/12/1985,0.879707953,Chitty Hare
2/13/1985,0.904680291,Chitty Hare
2/14/1985,0.926597061,Chitty Hare
2/15/1985,0.926597061,Chitty Hare
2/16/1985,0.939927636,Chitty Hare
2/17/1985,0.966869391,Chitty Hare
2/18/1985,0.966869391,Chitty Hare
2/19/1985,0.966869391,Chitty Hare
2/20/1985,0.997466772,Chitty Hare
2/21/1985,0.997466772,Chitty Hare
2/22/1985,1.03138353,Chitty Hare
2/23/1985,1.03138353,Chitty Hare
2/24/1985,1.03138353,Chitty Hare
2/25/1985,1.03138353,Chitty Hare
2/26/1985,1.03138353,Chitty Hare
2/27/1985,1.022891768,Chitty Hare
2/28/1985,1.046702938,Chitty Hare
3/1/1985,1.046702938,Chitty Hare
